id,"category","name","url","image","author","updatetime","status","news","description","datetime","path"
664,"玄幻奇幻","来和肉盾互相伤害啊","http://www.xxbiquge.com/74_74702/","http://www.xxbiquge.com/cover/74/74702/74702s.jpg","弱鸡之王","2017-03-31 20:10:45","连载中","大结局！ 王者归来！（感谢各位书友的支持！谢谢大家）","一个名为胡阳的待业少年，刚走进了一家刚开张的网咖，就被主神强行选中带进了玄幻世界中，并获得了无限复活的能力。    于是胡阳开启了全程挨打的冒险之旅。    从此在这片玄幻大陆掀起了血雨腥风。    虽然被打的总是胡阳，但是死的全是敌人，    哎！无敌总是这么寂寞如雪啊！    胡阳淡淡的感慨了一句。    随后冲着下面围堵他的人群大喊到：\"我也不","2017-04-01 07:45:24","/Users/gzw/Documents/workspace/python/74_74702"
665,"玄幻奇幻","瞳宰天下","http://www.xxbiquge.com/13_13905/","http://www.xxbiquge.com/cover/13/13905/13905s.jpg","绝谷刀客","2017-04-01 11:03:24","连载中","第一千五百一十八章 罪孽滔天","这是一个属于瞳修的世界，没有缤纷绚丽的魔法，没有繁衍到巅峰的斗气。有的，仅仅是千奇百怪、让人叹为观止的魅眼邪瞳！    蛮瞳境十重天：一重铸瞳、二重育瞳、三重瞳花、四重瞳骨、五重瞳力、六重瞳像、七重瞳灵、八重瞳神、九重瞳相、十重瞳涅……    全新的体系，不一样的架构。    一个人，一双拳，瞳战天下！    PS：兄弟们，我回来了！提刀出绝谷，随我杀出一条血路！杀","2017-04-01 07:49:06","/Users/gzw/Documents/workspace/python/13_13905"
666,"玄幻奇幻","剑道邪尊Ⅱ","http://www.xxbiquge.com/62_62486/","http://www.xxbiquge.com/cover/62/62486/62486s.jpg","残剑","2017-04-01 08:09:25","连载中","第1203章 吸收星系碎片之法","【火爆免费】天地不仁，以万物为刍狗，方有众生轮回。    剑道邪尊，视众生为鱼肉，方有参天造化。    一代邪尊之子，死亡百万年之后，得以复活在凡尘俗世之中。    这究竟是太古时代的阴谋延续，还是承载了帝王意志的不屈生机？","2017-04-01 07:55:44","/Users/gzw/Documents/workspace/python/62_62486"
667,"玄幻奇幻","八荒斗神","http://www.xxbiquge.com/15_15768/","http://www.xxbiquge.com/cover/15/15768/15768s.jpg","庞飞烟","2017-04-01 12:05:49","连载中","第2451章 重围","【】    烈云宫第一天才沈非，因意外断臂，从而跌落神坛，宗门弟子的羞辱，青梅竹马的背叛，沈非最终被迫离开烈云宫，被下放到了附属势力长宁宗。    手臂型的吊坠内，竟然隐藏着诡异的修炼功法《天残魔诀》，抓住最后一根救命稻草的沈非，凭着这门强大的功法从长宁宗脱颖而出，从此光环耀眼，一飞冲天！    三年后，再次站在烈云宫的宫门口，沈非淡淡的声音响彻天际：我，回来了！","2017-04-01 08:02:09","/Users/gzw/Documents/workspace/python/15_15768"
668,"玄幻奇幻","天道图书馆","http://www.xxbiquge.com/75_75151/","http://www.xxbiquge.com/cover/75/75151/75151s.jpg","横扫天涯","2017-04-01 11:25:21","连载中","第三百六十七章 莫弘一掉粪坑了","张悬穿越异界，成了一名光荣的教师，脑海中多出了一个神秘的图书馆。        只要他看过的东西，无论人还是物，都能自动形成书籍，记录下对方各种各样的缺点，于是，他牛大了！        “昊天大帝，你怎么不喜欢穿内裤啊？堂堂大帝，能不能注意点形象？”        “玲珑仙子，你如果晚上再失眠，可以找我嘛，我这个人唱安眠曲很有一套的！”        “还有你，乾坤魔君，能不能少吃点大葱，想把老子熏死吗？”        ……        这是一个师道传承，培养、指点世界最强者的牛逼拉风故事。","2017-04-01 08:12:49","/Users/gzw/Documents/workspace/python/75_75151"
669,"玄幻奇幻","肉身成圣者的二次元生活","http://www.xxbiquge.com/69_69307/","http://www.xxbiquge.com/cover/69/69307/69307s.jpg","我的小泰迪","2017-04-01 08:06:50","连载中","第十八章 空调坏了加蚊灾","也不知道为什么，洛星做了个奇怪的梦，梦里面有人说是自己的前世，被困在一个奇怪的鸡蛋壳里面。    当他拿了一把斧头从鸡蛋里破出来的时候，梦就醒了。    对了，那个人说他叫盘古。","2017-04-01 08:14:31","/Users/gzw/Documents/workspace/python/69_69307"
670,"玄幻奇幻","火影之失落一族","http://www.xxbiquge.com/69_69274/","http://www.xxbiquge.com/cover/69/69274/69274s.jpg","夜郎国王","2017-04-01 13:23:10","连载中","第406章 扭转","最强的一族，真的是……宇智波吗？    假如，要是假如我们这一族没有被灭的话……    就是因为我们强大？    是嫉妒？    还是畏惧？    树叶飞舞之处，火亦生生不息。火光将会继续照亮村子，并且让新生的树叶发芽。可那背后血红的漩涡，该置之何处？","2017-04-01 08:16:19","/Users/gzw/Documents/workspace/python/69_69274"
671,"玄幻奇幻","火影之千叶传说","http://www.xxbiquge.com/69_69686/","http://www.xxbiquge.com/cover/69/69686/69686s.jpg","零始","2017-04-01 10:04:04","连载中","第三百八十一章 无梨甚八","穿越火影世界，融入众多忍者之中。    八门遁甲、忍术奥义……    原来穿越并不是没有携带任何天赋，而是，还没有发现而已！    木叶史上最强忍者，传奇之路开始……    呃……别说我谦虚，低调啊……    【本书不拆原作CP，这是一个生活在火影世界中的故事。】","2017-04-01 08:18:16","/Users/gzw/Documents/workspace/python/69_69686"
672,"玄幻奇幻","寻找走丢的舰娘","http://www.xxbiquge.com/75_75342/","http://www.xxbiquge.com/cover/75/75342/75342s.jpg","海底熔岩","2017-04-01 12:12:50","连载中","第两百七十七章 我的肯特在哪里？","当你脱坑好长时间之后你可曾想过你的姑娘们会怎样？    港区因为长官离开而分崩离析；    胡德带着声望离开去了遥远的城市，提尔比茨为了生活在画同人本子，弗莱彻为了几个妹妹的生活同时打着几份工，无敌的苏赫巴托尔大人一手抱着黑猫奥斯卡一手抱着凶猛的大老虎有些茫然不足所措；    儿童节的小提尔比茨，小宅也是幼宅为了寻找自己的长官走遍千山万水，当你感受到那份心情之后只想再重建那","2017-04-01 08:20:04","/Users/gzw/Documents/workspace/python/75_75342"
673,"玄幻奇幻","重生之大策划师","http://www.xxbiquge.com/67_67590/","http://www.xxbiquge.com/cover/67/67590/67590s.jpg","七里庭","2017-03-31 20:07:55","连载中","第488章 假花瓶","一场大病林一航醒来回到十三年前，前世是职场不受看重的失意男人，重生后带着自己的先知翻云覆雨。    他策划一起起商业模式，震惊世界。    IT巨头，娱乐大亨、金融战争都有他的身影……","2017-04-01 08:21:27","/Users/gzw/Documents/workspace/python/67_67590"
674,"玄幻奇幻","出售未来","http://www.xxbiquge.com/75_75611/","http://www.xxbiquge.com/cover/75/75611/75611s.jpg","百晓点灯","2017-03-31 23:50:29","连载中","遥远的洪荒，令人热血沸腾的神魔时代","问题一：你希望提前支取未来吗？    问题二：假如你的未来变成了积分，在有限的数量下，你想要兑换什么愿望？    问题三：如果在积分用完之后，你就会从这个世界消失，你是否还会做出同样的选择？    【书友群：282832797】","2017-04-01 08:27:17","/Users/gzw/Documents/workspace/python/75_75611"
675,"玄幻奇幻","玄门败家子","http://www.xxbiquge.com/69_69721/","http://www.xxbiquge.com/cover/69/69721/69721s.jpg","逆运","2017-04-01 12:02:33","连载中","第四百七十章 我们是去，直接灭了他","这是一个神奇的大陆。    在这里，真命天子遍地走，天之骄子不如狗……    在这里，豪艇成飞舟，仙府炒房产，秘境插标卖，有钱就是爷！    在这里，钱无万能，亦有九千九百能。    于是，每每真命天子闪亮登场，技惊四座时，总有一个败家的声音响起。    “两千万，这地我包了。你到别处耍去！”    ——————    是的，这是一个败家子在","2017-04-01 08:34:16","/Users/gzw/Documents/workspace/python/69_69721"
676,"玄幻奇幻","大唐之绝版马官","http://www.xxbiquge.com/58_58880/","http://www.xxbiquge.com/cover/58/58880/58880s.jpg","东风暗刻","2017-04-01 13:04:07","连载中","第811章 为着一人","被流放到大唐边陲之地养马的一位少年、一位年轻女人，相互扶持、巧借机缘改变命运的故事。    身未死，名已变。    万马奔腾，以重生之名，谱写帝国天可汗最珍爱的传说。","2017-04-01 08:36:32","/Users/gzw/Documents/workspace/python/58_58880"
677,"玄幻奇幻","异世傲天","http://www.xxbiquge.com/3_3955/","http://www.xxbiquge.com/cover/3/3955/3955s.jpg","傲月长空","2017-03-31 22:04:54","连载中","第一千六百六十二章","身具混沌之体，拥有混沌神魂的龙傲天，偶获逍遥神尊的传承，重生异界，为了亲人和整个大陆一步步的踏上异界的巅峰。    一个征程的结束预示着另外一个征程的到来，且看龙傲天如何重回地球，翻云覆雨，转战修真界，大战仙界，称雄神界！    一样的故事，不一样的情节，无限的精彩，无限的热血尽在《异世傲天》！","2017-04-01 08:40:17","/Users/gzw/Documents/workspace/python/3_3955"
678,"玄幻奇幻","恐怖广播","http://www.xxbiquge.com/76_76089/","http://www.xxbiquge.com/cover/76/76089/76089s.jpg","纯洁滴小龙","2017-04-01 14:28:32","连载中","第五十二章 五尺道","想要活下去？那就先享受这无处不在的恐怖吧！","2017-04-01 09:00:32","/Users/gzw/Documents/workspace/python/76_76089"
